一世一代
一世風靡
一人二役
一刀両断
一子相伝
一家団欒
一心不乱
一念発起
一所懸命
一挙一動
一挙両得
一撃必殺
一攫千金
一方通行
一日千秋
一朝一夕
一期一会
一球入魂
一発必中
一石二鳥
一筆啓上
一網打尽
一罰百戒
一蓮托生
一触即発
一進一退
一長一短
一騎当千
七転八倒
七転八起
万有引力
三々五々
三日天下
三面記事
不協和音
不可抗力
不言実行
世代交代
世界征服
中途半端
主客転倒
事実無根
二人三脚
二律背反
二束三文
二転三転
五分五分
五臓六腑
五里霧中
人体実験
人海戦術
人畜無害
他力本願
他言無用
以心伝心
傍若無人
優勝劣敗
優柔不断
先手必勝
先祖代々
免許皆伝
全知全能
全身全霊
八方美人
公明正大
共存共栄
内憂外患
再起不能
切捨御免
切磋琢磨
初志貫徹
前人未到
前代未聞
前途多難
勇猛果敢
勤労困憊
勧善懲悪
十中八九
千夜一夜
千客万来
千差万別
半信半疑
半死半生
単刀直入
危機一髪
反面教師
取捨選択
古今東西
叱咤激励
右往左往
名誉挽回
呉越同舟
品行方正
唯一無二
商売繁盛
喜怒哀楽
喜色満面
器用貧乏
四六時中
四方八方
四苦八苦
四面楚歌
因果応報
固定観念
国士無双
士農工商
変幻自在
大同小異
大安吉日
大根役者
大義名分
大言壮語
天下泰平
天地無用
天変地異
天真爛漫
奇想天外
女人禁制
妖怪変化
威風堂々
子々孫々
孤軍奮闘
安全第一
完全無欠
実力行使
小春日和
山海珍味
左右対称
巧言令色
常套手段
平身低頭
年功序列
弱肉強食
得意満面
徹頭徹尾
心機一転
快刀乱麻
思慮分別
急転直下
悪徳商人
悪戦苦闘
情状酌量
意味深長
愛情表現
感慨無量
懇切丁寧
戦々恐々
手前味噌
才気煥発
捲土重来
支離滅裂
整理整頓
文武両道
新進気鋭
新陳代謝
日進月歩
旧態依然
時期尚早
暗中模索
暴力反対
有名無実
有象無象
朝令暮改
本家本元
東奔西走
柔軟体操
栄枯盛衰
栄養補給
森羅万象
極悪非道
極楽浄土
欲求不満
正々堂々
正当防衛
正真正銘
死屍累々
残念無念
民主主義
汚名返上
油断大敵
波乱万丈
海千山千
清廉潔白
温故知新
渾然一体
満場一致
満身創痍
火気厳禁
無我夢中
無為無策
無理難題
無病息災
無茶苦茶
焼肉定食
狂喜乱舞
独断専行
独立独歩
獅子奮迅
現状維持
理路整然
生々流転
生年月日
生殺与奪
用意周到
画竜点睛
疲労困憊
疾風怒濤
百花繚乱
百鬼夜行
盛者必衰
眉目秀麗
真剣勝負
社交辞令
禁断症状
私利私欲
空中分解
空中楼閣
空前絶後
突貫工事
立身出世
笑止千万
粗製濫造
精神統一
約束手形
紳士協定
経世済民
経常利益
絶体絶命
縦横無尽
罵詈雑言
美人薄命
美辞麗句
群雄割拠
老若男女
聖人君子
肉体労働
自作自演
自動改札
自己矛盾
自業自得
自由奔放
自画自賛
自給自足
自縄自縛
興味津々
舌先三寸
色即是空
花鳥風月
英才教育
茫然自失
荒唐無稽
薄利多売
行方不明
表裏一体
言語道断
試行錯誤
誇大妄想
誤字脱字
諸行無常
豊年満作
豪華絢爛
賛否両論
賞味期限
質実剛健
起死回生
跳梁跋扈
身分相応
軽挙妄動
迷惑千万
連戦連勝
適材適所
避難訓練
酒池肉林
野良仕事
金科玉条
門外不出
門戸開放
開口一番
閑話休題
難攻不落
雨天決行
音信不通
順風満帆
頑固一徹
風林火山
飲酒運転
飽和状態
首尾一貫
馬耳東風
鬼子母神
魑魅魍魎
