一人前
一人称
一匹狼
一文字
一昨日
一枚岩
一番星
一目散
一筋縄
一粒種
一般的
一週間
丁寧語
七五三
七面鳥
万国旗
万年筆
三冠王
三国志
三角形
三輪車
上機嫌
下世話
下剋上
下半身
下手人
下腹部
下馬評
不一致
不健全
不具合
不十分
不可能
不名誉
不均衡
不安定
不平等
不恰好
不戦勝
不手際
不時着
不条理
不機嫌
不死鳥
不気味
不用意
不相応
不自由
不規則
不都合
世紀末
世間体
並大抵
中古車
丸坊主
主治医
九官鳥
乱気流
予備校
予告編
予想外
事務所
事情通
二枚目
二進法
互換性
五寸釘
井戸水
交通費
人一倍
人格者
人道的
代名詞
代理店
会社員
似顔絵
低次元
体温計
作曲家
作詞家
使用人
価値観
保護色
保険証
修羅場
個性的
値千金
倦怠期
倶楽部
停留所
健常者
偽善者
催涙弾
兄弟分
先進国
光合成
光熱費
公約数
共益費
具体的
内出血
内弁慶
内弟子
円周率
再出発
再放送
再来年
再認識
冬化粧
冷凍庫
冷蔵庫
几帳面
処世術
凶悪犯
出世作
出来事
出来心
出鱈目
分度器
刑務所
初体験
初対面
初期化
別世界
刻一刻
前夜祭
副作用
副産物
創刊号
創始者
加害者
劣等感
助教授
助産婦
勝手口
勝負師
北海道
医薬品
十五夜
十八番
十字架
千秋楽
千羽鶴
半狂乱
半魚人
卒業生
協力的
単細胞
原動力
原始人
原子力
及第点
反抗期
取締役
受験生
口下手
口八丁
口約束
古典的
古時計
可能性
同性愛
吸血鬼
告別式
哺乳類
啄木鳥
喫茶店
嗜好品
嘘八百
四天王
回送車
囲炉裏
図書館
土壇場
圧倒的
地下室
地下水
地中海
地団駄
地平線
地獄耳
地球儀
堪忍袋
報道陣
売春婦
外交官
外国語
外来語
多目的
多趣味
夜光虫
夢遊病
大丈夫
大使館
大前提
大多数
大広間
大往生
大文字
大気圏
大理石
大相撲
大統領
大自然
大至急
大規模
大雑把
大黒柱
天守閣
天文学
太公望
太平洋
太陽系
太鼓判
契約書
女王蜂
好事家
好奇心
好意的
好戦的
好敵手
好景気
始末書
委員会
婿養子
子煩悩
孤児院
学生服
宇宙人
安息日
安楽死
実力者
実業家
実物大
実用的
実験台
客観的
家庭科
家政婦
家計簿
寄生虫
寝不足
寝心地
対抗馬
対角線
将来性
尊敬語
導火線
小市民
小細工
小麦粉
屁理屈
居丈高
居場所
居酒屋
展望台
展覧会
履歴書
工作員
常習犯
平行線
幹事長
幼稚園
幾何学
広範囲
座椅子
延長線
建設的
張本人
強行軍
形容詞
形式的
影法師
影響力
往生際
後援会
後遺症
後頭部
徒競走
従業員
御手洗
御法度
必然的
必需品
忍耐力
応接室
思春期
急降下
性転換
恒久的
悪影響
悪循環
悪知恵
悪趣味
意固地
